name,ingredients,effect,dosage,caution,nation,image
漢方ズッキノン（14包）,"チョウトウコウ:1.5g、
チンピ:1.5g、ハンゲ:1.5g、バクモンドウ:1.5g、ブクリョウ:1.5g、ニンジン:1.0g、ボウフウ:1.0g、キクカ:1.0g、カンゾウ:0.5g、ショウキョウ:0.5g、セッコウ:2.5g",体力中等度で、慢性に経過する頭痛、肩こり、めまいなどがあるものの次の諸症:慢性頭痛、神経症、高血圧の傾向のあるもの,"次の量を食前または食間に水またはお湯で服用してください。
※食間とは「食事と食事の間」を意味し、食後約2～3時間のことをいいます。
大人(15才以上):1回1包　1日2回
15才未満:服用しないこと","(1)直射日光の当たらない湿気の少ない涼しいところに保管すること
(2)小児の手の届かないところに保管すること
(3)他の容器に入れ替えないこと(誤用の原因になったり品質が変わる)
(4)使用期限を過ぎた製品は服用しないこと",ja,
ウット 12錠,"本品1日量(3錠)中
ブロムワレリル尿素 250mg
アリルイソプロピルアセチル尿素 150mg
塩酸ジフェンヒドラミン 25mg",頭痛、精神興奮、神経衰弱、その他鎮静を必要とする諸症,"1日1-3回食後に服用してください
年齢 大人(15才以上) 15才未満
1回量 1錠 服用しないこと
(用法・用量に関連する注意)
(1)用法及び用量を厳守してください。
(2)錠剤の取り出し方
錠剤の入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、取り出してお飲み下さい。","服用時は飲酒しないでください
過量服用、長期連用しないでください",ja,
ナロンエース 48錠,"イブプロフェン 144mg
エテンザミド 84mg
ブロモバレリル尿素 200mg","1. 頭痛・月経痛(生理痛)・歯痛・抜歯後の疼痛・腰痛・肩こり痛・筋肉痛・関節痛・打撲痛・ねんざにともなう痛み(ねんざ痛)・骨折痛・外傷痛・神経痛・咽喉痛(のどの痛み)・耳痛の鎮痛
2. 悪感(発熱によるさむけ)・発熱時の解熱","次の量をなるべく空腹時をさけて服用してください。服用間隔は4時間以上おいてください。
年齢・・・1回量・・・服用回数
15歳以上・・・2錠・・・1日3回まで
15歳未満・・・服用しないこと",錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください。(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります),ja,
龍角散ダイレクトトローチ マンゴーR 20錠,"キキョウ末 82.2mg
セネガ末 4.2mg 
カンゾウ成分抽出物 30mg 
キョウニン 6mg ",たん、せき、のどの炎症による声がれ・のどのあれ・のどの不快感,"水なしで服用して下さい。服用間隔は2時間以上おいて下さい。
15歳以上:1回1包 1日6回","(1)用法・用量を厳守してください。
(2)小児に服用させる場合には、保護者の指導監督のもとに服用させてください。",ja,
ノーシンピュア 84錠,添加物として無水ケイ酸、ヒドロキシプロピルセルロース、クロスCMC-Na、セルロース、ステアリン酸Mg、ヒプロメロース、酸化チタン、タルク、マクロゴール、カルナウバロウを含有する。,"1. 生理痛･頭痛･腰痛･歯痛･咽喉痛･関節痛･筋肉痛･神経痛･肩こり痛･抜歯後の疼痛･打撲痛･耳痛･骨折痛･ねんざ痛･外傷痛の鎮痛
2. 悪寒･発熱時の解熱","次の用量をなるべく空腹時をさけて服用してください。
服用間隔は4時間以上おいてください。
15歳以上：1回2錠 1日3回を限度とする","(1)直射日光の当たらない湿気の少ない涼しい所に保管してください｡
(2)小児の手の届かない所に保管してください｡
(3)他の容器に入れ替えないでください（誤用の原因になったり品質が変わります｡）。
(4)使用期限をすぎた製品は服用しないでください｡
(5)車の中など、高温になる所に置かないでください｡",ja,
エルペインコーワ 12錠,"イブプロフェン 150.0mg
ブチルスコポラミン臭化物・10.0mg","日本で唯一の生理痛専用薬
一般的な解熱鎮痛薬とは異なり、「生理痛」のみの効果・効能をもつ鎮痛薬です。","次の量を食前又は食間に、水又は白湯にて服用してください。

成人(15歳以上):1回量1錠、服用回数1日3回
15歳未満:服用しないこと","してはいけないこと
1. 15歳未満の小児
2. 長期連用しないでください",ja,
バファリン ルナJ 12錠,アセトアミノフェン 100mg,"（1）月経痛（生理痛）・頭痛・腰痛・肩こり痛・筋肉痛・関節痛・打撲痛・骨折痛・ねんざ痛・歯痛・抜歯後の疼痛・神経痛・耳痛・外傷痛・咽喉痛の鎮痛
（2）悪寒・発熱時の解熱","なるべく空腹時をさけ、かみくだくか、口の中で溶かして服用してください。
また、服用間隔は4時間以上おいてください。
15才以上 1回量3錠、服用回数1日3回を限度とする
11才以上15才未満 1回量2錠、服用回数1日3回を限度とする
7才以上11才未満 1回量1錠、服用回数1日3回を限度とする
7才未満 服用しないこと",小児の手の届かない所に保管してください。,ja,
ナロンエース 24錠,"イブプロフェン 144mg
エテンザミド 84mg
ブロモバレリル尿素 200mg
無水カフェイン 50mg","1. 頭痛・月経痛(生理痛)・歯痛・抜歯後の疼痛・腰痛・肩こり痛・筋肉痛・関節痛・打撲痛・ねんざにともなう痛み(ねんざ痛)・骨折痛・外傷痛・神経痛・咽喉痛(のどの痛み)・耳痛の鎮痛
2. 悪感(発熱によるさむけ)・発熱時の解熱","次の量をなるべく空腹時をさけて服用してください。服用間隔は4時間以上おいてください。
年齢 1回量 服用回数
15歳以上 2錠 1日3回まで",使用期限を過ぎた製品は服用しないでください。,ja,
"小林製薬 ハッキリエースa 90包
ポイント10倍キャンペーン中","アセトアミノフェン:690mg  鎮痛、解熱作用
エテンザミド:690mg  鎮痛、解熱作用
カフェイン水和物:225mg  鎮痛補助作用","1.頭痛・歯痛・抜歯後の疼痛・咽喉痛・耳痛・関節痛・神経痛・腰痛・筋肉痛・肩こり痛・打撲痛・骨折痛・ねんざ痛・月経痛(生理痛)・外傷痛の鎮痛
2.悪寒・発熱時の解熱","次の量を1日3回を限度とし、なるべく空腹時をさけて水またはお湯で服用し、服用間隔は4時間以上おいてください。
大人(15才以上):1回1包　1日3回まで","1包を分割して服用する場合、残った薬剤は袋の口を折り返して保管すること
また、保管した残りの薬剤は、その日のうちに服用するか捨てること",ja,
セデス・ハイG,"イソプロピルアンチピリン(IPA)  150mg  熱を下げ,痛みをやわらげる 
アセトアミノフェン  250mg  熱を下げ,痛みをやわらげる ","1. 頭痛・月経痛(生理痛)・歯痛・神経痛・腰痛・外傷痛・抜歯後の疼痛・咽喉痛・耳痛・
 関節痛・筋肉痛・肩こり痛・打撲痛・骨折痛・ねんざ痛の鎮痛
2. 悪寒・発熱時の解熱","次の量をなるべく空腹時をさけて、水またはぬるま湯でおのみください。 
また、おのみになる間隔は4時間以上おいてください。
1包(3回を限度とする) ","使用期限をすぎた製品は,服用しないでください。",ja,
ノーシン散剤 100包,"1包(690㎎)中
アセトアミノフェン 300㎎
エテンザミド 120㎎
カフェイン水和物 70㎎","1）頭痛・歯痛・月経痛(生理痛)・神経痛・関節痛・腰痛・肩こり痛・咽喉痛・耳痛・抜歯後の疼痛・筋肉痛・打撲痛・ねんざ痛・骨折痛・外傷痛の鎮痛
2）悪寒・発熱時の解熱","大人(15才以上) 1回1包 
1日3回を限度とし、なるべく空腹時をさけて服用してください。
服用間隔は4時間以上おいてください。","1. 本剤を服用している間は、次のいずれの医薬品も服用しないでください
 他の解熱鎮痛薬、かぜ薬、鎮静薬
2. 服用前後は飲酒しないでください
3. 長期連用しないでください",ja,
タイレノールA 10錠,アセトアミノフェン：300mg,"(1)頭痛・月経痛(生理痛)・歯痛・抜歯後の疼痛・咽喉痛・耳痛・関節痛・神経痛・腰痛・筋肉痛・肩こり痛・打撲痛・骨折痛・ねんざ痛・外傷痛の鎮痛
(2)悪寒・発熱時の解熱","次の量を服用してください。ただし、かぜによる悪寒・発熱時には、なるべく空腹時をさけて服用してください。
成人（15歳以上）：1回1錠 1日3回まで。4時間以上おいて服用すること。",3.5～6回服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、歯科医師、薬剤師又は登録販売者に相談してください。,ja,
サリドンWi 10錠,イソプロピルアンチピリン（ピリン系）１５０ｍｇ、イブプロフェン５０ｍｇ、無水カフェイン５０ｍｇ,"1. 頭痛・月経痛（生理痛）・歯痛・抜歯後の疼痛・咽頭痛・関節痛・神経痛・腰痛・筋肉痛・
 肩こり痛・打撲痛・ねんざ痛の鎮痛
2. 悪寒・発熱時の解熱",１日２回を限度とし、なるべく空腹時をさけて水又はお湯で服用して下さい。,他の容器に入れ替えないで下さい。（誤用の原因になったり品質が変わります）,ja,
ルナールi 20錠錠,"イブプロフェン(生理痛などの痛みや痛みの原因となるハレを抑える成分です) 150mg
アセトアミノフェン(痛みを抑える成分です) 65mg ",生理痛・腰痛・頭痛・肩こり痛・歯痛・神経痛・筋肉痛・関節痛・抜歯後の疼痛・咽頭痛・打撲痛・ねんざ痛・外傷痛・骨折痛・耳痛の鎮痛・悪寒・発熱時の解熱,1回2錠をなるべく空腹時をさけて服用してください。,"1.長期連用しないでください
2.本剤を服用している間は、次のいずれの医薬品も服用しないでください
他の解熱鎮痛薬、かぜ薬、鎮静薬
3.服用前後は飲酒しないでください",ja,
後藤散いたみどめ顆粒G 12包,"アスピリン ４５０ｍｇ 熱を下げ、痛みをしずめ、炎症をおさえる作用に優れています。アスピリンは非ピリン系の解熱鎮痛剤です。
無水カフェイン ５０ｍｇ 解熱鎮痛の効果を高め、脳の血流を改善して早く頭痛を治します。
ケイヒ末 １００ｍｇ 発汗、解熱、鎮痛などの作用があります。","（1）頭痛・歯痛・抜歯跡の疼痛・咽頭痛。・耳痛・関節痛・神経痛・腰痛・筋肉痛・肩こり痛・打撲痛・ねんざ痛・月経痛(生理痛)・外傷痛の鎮痛
( 2）悪寒・発熱時の解熱","15才以上1回1包1日3回まで。
なるべく空腹時を避ける
15才未満は服用しない",5～6回服用しても症状がよくならない場合は服用を中止し，この文書を持って医師，歯科医師，薬剤師又は登録販売者に相談してください,ja,
ヘデクパウダー 30包,"アスピリン 900mg 中枢性の鎮痛解熱作用に加え、末梢に作用して痛みの症状を鎮めるとともに抗炎症作用をあらわす。
アセトアミノフェン 600mg 痛みや熱の中枢に作用し、鎮痛解熱作用をあらわす。","1.頭痛、歯痛、抜歯後の疼痛、咽喉痛、耳痛、関節痛、神経痛、腰痛、筋肉痛、肩こり痛、打撲痛、骨折痛、ねんざ痛、月経痛(生理痛)、外傷痛の鎮痛
2.発熱・悪寒時の解熱","1日3回を限度とし、なるべく空腹時をさけて水またはお湯と一緒に服用する。
服用間隔は4時間以上おく。
年 齢 大人(15歳以上) 15歳未満
1回量 1包 服用しないこと",5～6回服用しても症状がよくならない場合,ja, 
ノーシンアイ頭痛薬 24錠,"イブプロフェン 150mg
アセトアミノフェン 65㎎","1）頭痛・月経痛（生理痛）・歯痛・神経痛・関節痛・腰痛・肩こり痛・咽喉痛・耳痛・抜歯後の疼痛・筋肉痛・打撲痛・ねんざ痛・骨折痛・外傷痛の鎮痛
2）悪寒・発熱時の解熱","成人(15歳以上)  1回2錠 
1日3回を限度とし、なるべく空腹時をさけて服用してください。
服用間隔は4時間以上おいてください。",服用前後は飲酒しないでください,ja,
アダムA錠 48錠,"イブプロフェン 150mg 発熱、頭痛、関節の痛み、肩こり痛などをやわらげます。
アリルイソプロピルアセチル尿素 60mg イブプロフェンの鎮痛作用を助けます。","頭痛・歯痛・月経痛(生理痛)・咽喉痛・関節痛・筋肉痛・神経痛・腰痛・肩こり痛・抜歯後の疼痛・打撲痛・耳痛・骨折痛・ねんざ痛・外傷痛の鎮痛
悪寒・発熱時の解熱","次の1回量を1日3回を限度とし、なるべく空腹時をさけて水またはお湯でかまずに服用してください。服用間隔は4時間以上おいてください。
成人(15歳以上) 1回2錠",15歳未満の小児・・・服用しないこと,ja,
後藤散 いたみどめ顆粒 24包,アスピリン：450mg 熱を下げ、痛みをしずめ、炎症をおさえる作用に優れています。アスピリンは非ピリン系の解熱鎮痛薬です。,"1.頭痛・歯痛・抜歯後の疼痛・咽喉痛・耳痛・関節痛・神経痛・腰痛・筋肉痛・ 肩こり痛・打撲痛・骨折痛・ねんざ痛・月経痛(生理痛)・外傷痛の鎮痛
2.悪寒、発熱時の解熱","1日3回を限度とし、なるべく空腹時を避けて服用服用してください。服用間隔は4時間以上おいてください。
15歳以上：1回1包",5～6回服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい。,ja,
後藤散かぜ薬顆粒LT（24包）,"アスピリン（アセチルサリチル酸） 450mg
無水カフェイン 50mg
dl-メチルエフェドリン塩酸塩 10mg","1	かぜの諸症状（発熱、頭痛、悪寒、くしゃみ、鼻水、鼻づまり、せき、たん、のどの痛み、関節の痛み、筋肉の痛み）の緩和","用法・用量1	下記の1回量を、1日3回食後なるべく30分以内に服用してください
15歳以上：1包、15歳未満：服用しないこと",5～6回服用しても症状がよくならない場合は服用を中止し、この文章を持って医師、薬剤師、又は登録販売者に相談してください。,ja,
ノーシンアイ頭痛薬（24錠）,"イブプロフェン 150mg
アセトアミノフェン 65mg",頭痛・月経痛（生理痛）・歯痛・神経痛・関節痛・腰痛・肩こり痛・咽喉痛・耳痛・抜歯後の疼痛・筋肉痛・打撲痛・ねんざ痛・骨折痛・外傷痛の鎮痛、悪寒・発熱時の解熱,"次の用量をなるべく空腹時をさけて服用してください。服用間隔は4時間以上おいてください。
2錠： 3回を限度とする","間質性肺炎： 階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
ぜんそく： 息をするときゼーゼー、ヒューヒューと鳴る、息苦しい等があらわれる。
再生不良性貧血： 青あざ、鼻血、歯ぐきの出血、発熱、皮膚や粘膜が青白くみえる、疲労感、動悸、息切れ、気分が悪くなりくらっとする、血尿等があらわれる。
無顆粒球症： 突然の高熱、さむけ、のどの痛み等があらわれる。
服用後、次の症状があらわれることがあるので、このような症状の持続又は増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談してください
　便秘",ja,
